code,sector
000001,金融行业
000002,房地产
000003,其它行业
000004,生物制药
000005,房地产
000006,房地产
000007,酒店旅游
000008,综合行业
000009,房地产
000010,建筑建材
000011,房地产
000012,玻璃行业
000013,其它行业
000014,房地产
000015,其它行业
000016,家电行业
000018,纺织行业
000019,食品行业
000020,电子器件
000021,电子信息
000022,交通运输
000023,建筑建材
000024,房地产
000025,汽车制造
000026,商业百货
000027,电力行业
000028,商业百货
000029,房地产
000030,汽车制造
000031,房地产
000032,电子信息
000034,煤炭行业
000035,电子信息
000036,房地产
000037,电力行业
000038,房地产
000039,机械行业
000040,房地产
000042,房地产
000045,纺织行业
000046,房地产
000047,其它行业
000048,农林牧渔
000049,电器行业
000050,电子器件
000055,建筑建材
000056,房地产
000058,电子器件
000059,石油行业
000060,有色金属
000061,农林牧渔
000062,商业百货
000063,电子信息
000065,建筑建材
000066,电子信息
000068,电子器件
000069,酒店旅游
000070,电子信息
000078,生物制药
000088,交通运输
000089,交通运输
000090,建筑建材
000096,石油行业
000099,交通运输
000100,家电行业
000150,医疗器械
000151,物资外贸
000153,生物制药
000155,农药化肥
000156,传媒娱乐
000157,机械行业
000158,纺织行业
000159,石油行业
000166,金融行业
000301,综合行业
000333,家电行业
000338,汽车制造
000400,发电设备
000401,水泥行业
000402,房地产
000403,生物制药
000404,机械行业
000405,其它行业
000407,塑料制品
000408,商业百货
000409,钢铁行业
000410,机械行业
000411,商业百货
000413,电子器件
000415,金融行业
000416,商业百货
000417,商业百货
000418,家电行业
000419,商业百货
000420,化纤行业
000421,交通运输
000422,农药化肥
000423,生物制药
000425,机械行业
000426,有色金属
000428,酒店旅游
000429,公路桥梁
000430,酒店旅游
000488,造纸行业
000498,建筑建材
000501,商业百货
000502,房地产
000503,电子信息
000504,传媒娱乐
000505,房地产
000506,房地产
000507,交通运输
000509,建筑建材
000510,化工行业
000511,其它行业
000513,生物制药
000514,房地产
000516,商业百货
000517,房地产
000518,生物制药
000519,机械行业
000520,交通运输
000521,家电行业
000522,生物制药
000523,化工行业
000524,酒店旅游
000525,农药化肥
000526,房地产
000527,家电行业
000528,机械行业
000529,食品行业
000530,机械行业
000531,电力行业
000532,电子信息
000533,家电行业
000534,房地产
000536,电子器件
000537,房地产
000538,生物制药
000539,电力行业
000540,房地产
000541,家电行业
000543,电力行业
000544,环保行业
000545,化工行业
000546,水泥行业
000547,电子信息
000548,公路桥梁
000550,汽车制造
000551,机械行业
000552,煤炭行业
000553,农药化肥
000554,石油行业
000555,电子信息
000556,其它行业
000557,酿酒行业
000558,房地产
000559,汽车制造
000560,商业百货
000561,电子信息
000562,金融行业
000563,金融行业
000564,商业百货
000565,化工行业
000566,生物制药
000567,房地产
000568,酿酒行业
000570,机械行业
000571,煤炭行业
000572,汽车制造
000573,房地产
000576,综合行业
000578,农药化肥
000581,汽车制造
000582,交通运输
000583,其它行业
000584,化纤行业
000585,发电设备
000586,电子信息
000587,有色金属
000589,汽车制造
000590,生物制药
000591,商业百货
000592,农林牧渔
000593,供水供气
000594,交通运输
000595,机械行业
000596,酿酒行业
000597,生物制药
000598,环保行业
000599,汽车制造
000600,电力行业
000601,电力行业
000602,有色金属
000603,有色金属
000605,供水供气
000606,生物制药
000607,传媒娱乐
000608,房地产
000609,房地产
000610,酒店旅游
000611,纺织行业
000612,有色金属
000613,酒店旅游
000615,化纤行业
000616,房地产
000617,机械行业
000619,建筑建材
000620,房地产
000622,汽车制造
000623,生物制药
000625,汽车制造
000626,物资外贸
000627,化工行业
000628,开发区
000629,钢铁行业
000630,有色金属
000631,房地产
000632,综合行业
000633,综合行业
000635,化工行业
000636,电子器件
000637,石油行业
000638,商业百货
000639,食品行业
000650,生物制药
000651,家电行业
000652,综合行业
000655,钢铁行业
000656,房地产
000657,有色金属
000658,其它行业
000659,印刷包装
000660,其它行业
000661,生物制药
000662,化工行业
000663,农林牧渔
000665,传媒娱乐
000666,纺织机械
000667,房地产
000668,房地产
000669,供水供气
000670,电子器件
000671,房地产
000672,水泥行业
000673,印刷包装
000675,其它行业
000676,仪器仪表
000677,化纤行业
000678,机械行业
000679,商业百货
000680,机械行业
000681,电子信息
000682,发电设备
000683,化工行业
000685,供水供气
000686,金融行业
000687,化纤行业
000689,其它行业
000690,电力行业
000691,房地产
000692,供水供气
000695,供水供气
000697,有色金属
000698,化工行业
000700,汽车制造
000701,综合行业
000702,农林牧渔
000703,化纤行业
000705,商业百货
000707,化工行业
000708,钢铁行业
000709,钢铁行业
000710,汽车制造
000711,电子信息
000712,金融行业
000713,农林牧渔
000715,商业百货
000716,食品行业
